sku	asin	price	quantity
WIRELESSCHARGERSEPT2018121	B07147H2P8	64.76	20
WIRELESSCHARGERSEPT2018122	B07G14H1PV	55.16	20
WIRELESSCHARGERSEPT2018123	B072BSC4G2	29.75	20
WIRELESSCHARGERSEPT2018124	B07D8R6NNP	34.61	20
WIRELESSCHARGERSEPT2018125	B0781BFVXJ	40.80	20
WIRELESSCHARGERSEPT2018127	B07FMG2XFX	73.49	20
WIRELESSCHARGERSEPT2018129	B077Y87CC2	54.51	20
WIRELESSCHARGERSEPT2018133	B078TD6D72	71.24	20
WIRELESSCHARGERSEPT2018136	B07CVZVLGZ	34.73	20
WIRELESSCHARGERSEPT2018137	B00MAULSOK	158.44	20
WIRELESSCHARGERSEPT2018138	B00UK567ZC	162.85	20
WIRELESSCHARGERSEPT2018139	B07B75HTQX	58.58	20
WIRELESSCHARGERSEPT2018141	B075TX4VM9	44.77	20
WIRELESSCHARGERSEPT2018142	B01ISLH4V0	32.54	20
BABYWIPE147	B006KYD02A	74.90	0
DUMBBELLSET08092018104	B01HVHFCP2	67.72	0
FITNESSTRACKER160618133	B074FVGSF7	55.26	0
FITNESSTRACKER160618148	B0719MFH8C	12.66	0
HOUSEHOLDPRO04062018146	B075B5QV4K	35.36	0
M0-T01B-V9GK	B01CGVPV5Y	61.50	0
MOONLAMP160618152	B075953XXW	57.75	0
PILLOW03092018102	B07CM61DTY	317.64	0
SPEAKER13092018230	B00Q3MF9YQ	54.43	0
SPEAKER13092018664	B0195J6DF2	210.81	0
SPEAKER13092018815	B075F7C91H	188.79	0
SPEAKER13092018834	B01N6H8LI0	684.59	0
SPEAKER13092018960	B0721ZQXDG	963.54	0
TRAVELGEAR15082018140	B00O8FR830	40.78	0
TRAVELMUG19082018104	B07D4BNCCM	45.32	0
TRAVELMUG19082018105	B01K9FOROA	39.90	0
TRAVELMUG19082018188	B07BPRBQ9L	38.45	0
TRAVELMUG19082018191	B06Y3J6JX7	86.91	0
TRAVELMUG19082018205	B07BPP98CD	38.45	0
TURNTABLE050520181052	B00AFH6CSW	65.87	0
